CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2.1527495439145166,961.0,218.81181619256017,3.0,654.0,246.8967349054159,925.0,113.09125081011017,1084.0,755.0,9.5,70.1,0.8343
2.1527495439145166,916.0,218.81181619256017,2.5,623.0,246.8967349054159,962.0,113.09125081011017,1064.0,725.0,9.8,69.4,0.8397
2.1527495439145166,835.0,218.81181619256017,0.9,484.0,246.8967349054159,1266.0,113.09125081011017,961.0,432.0,10.7,62.5,0.802
2.1527495439145166,885.0,218.81181619256017,1.8,572.0,246.8967349054159,1081.0,113.09125081011017,1031.0,612.0,10.4,64.8,0.8138
2.1527495439145166,1088.0,218.81181619256017,6.6,839.0,246.8967349054159,760.0,113.09125081011017,1236.0,951.0,9.7,73.1,0.8772
2.1527495439145166,1358.0,218.81181619256017,15.3,1158.0,246.8967349054159,529.0,113.09125081011017,1537.0,1326.0,9.3,77.0,0.9018
2.1527495439145166,1456.0,218.81181619256017,23.4,1389.0,246.8967349054159,443.0,113.09125081011017,1808.0,1504.0,9.1,77.1,0.8947
2.1527495439145166,1274.0,218.81181619256017,15.3,1159.0,246.8967349054159,545.0,113.09125081011017,1493.0,1326.0,10.6,67.9,0.8666
2.1527495439145166,1092.0,218.81181619256017,9.2,946.0,246.8967349054159,691.0,113.09125081011017,1234.0,1043.0,12.7,56.7,0.8304
2.1527495439145166,1111.0,218.81181619256017,10.4,993.0,246.8967349054159,662.0,113.09125081011017,1287.0,1058.0,13.0,53.9,0.8029
2.1527495439145166,1177.0,218.81181619256017,14.8,1143.0,246.8967349054159,574.0,113.09125081011017,1443.0,1205.0,13.9,49.0,0.7727
2.1527495439145166,1199.0,218.81181619256017,14.6,1138.0,246.8967349054159,581.0,113.09125081011017,1452.0,1203.0,14.4,49.2,0.8027
2.1527495439145166,1121.0,218.81181619256017,10.7,1003.0,246.8967349054159,656.0,113.09125081011017,1323.0,1058.0,14.3,48.6,0.79
2.1527495439145166,1252.0,218.81181619256017,15.5,1164.0,246.8967349054159,559.0,113.09125081011017,1474.0,1257.0,13.6,52.8,0.8177
2.1527495439145166,1233.0,218.81181619256017,14.9,1144.0,246.8967349054159,575.0,113.09125081011017,1436.0,1271.0,13.1,54.3,0.8167
